fecha,descripcion,valor,categoria,archivo
2026-02-09,PAGO A PROVE carolina romero,-500000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-09,COBRO IVA PAGOS AUTOMATICOS,-1516.2,IMPUESTO,Banco FEB2026.pdf
2026-02-10,IMPTO GOBIERNO 4X1000,-1083.85,IMPUESTO,Banco FEB2026.pdf
2026-02-10,COMPRA EN AMEN RAMEN,-270963,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-12,ABONO INTERESES AHORROS,6.39,RENDIMIENTO,Banco FEB2026.pdf
2026-02-12,CUOTA MANEJO TRJ DEB 02 26,-18050,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-12,AJUSTE INTERES AHORROS DB,-0.03,RENDIMIENTO,Banco FEB2026.pdf
2026-02-13,PAGO DE PROV BANCOLOMBIA SA,14270713.49,INGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-13,ABONO INTERESES AHORROS,10.94,RENDIMIENTO,Banco FEB2026.pdf
2026-02-13,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-13,IMPTO GOBIERNO 4X1000,-31233.21,IMPUESTO,Banco FEB2026.pdf
2026-02-13,COMPRA EN DISTRACOM,-156380,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-13,PAGO A PROVE carolina romero,-1920000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-13,PAGO A PROVE redacol,-699630,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-13,PAGO A PROVE andres romero,-5000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-13,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,Banco FEB2026.pdf
2026-02-14,IMPTO GOBIERNO 4X1000,-1690,IMPUESTO,Banco FEB2026.pdf
2026-02-14,COMPRA EN LOTO DEL S,-422500,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-15,ABONO INTERESES AHORROS,20.72,RENDIMIENTO,Banco FEB2026.pdf
2026-02-16,ABONO INTERESES AHORROS,6.25,RENDIMIENTO,Banco FEB2026.pdf
2026-02-16,TRASLADO A FONDO DE INVERSION,-3000000,TRASLADO_INTERNO,Banco FEB2026.pdf
2026-02-17,IMPTO GOBIERNO 4X1000,-16000,IMPUESTO,Banco FEB2026.pdf
2026-02-17,TRANSFERENCIA CTA CAJERO,-4000000,TRASLADO_INTERNO,Banco FEB2026.pdf
2026-02-19,ABONO INTERESES AHORROS,2.25,RENDIMIENTO,Banco FEB2026.pdf
2026-02-20,IMPTO GOBIERNO 4X1000,-597.99,IMPUESTO,Banco FEB2026.pdf
2026-02-20,COMPRA EN EDS ALTO B,-149499,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-24,ABONO INTERESES AHORROS,2.7,RENDIMIENTO,Banco FEB2026.pdf
2026-02-25,REV CUOTA PLAN CANAL NEGOCIOS,5200,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-25,REV IVA CUOTA PLAN CANAL NEGOC,988,IMPUESTO,Banco FEB2026.pdf
2026-02-25,TRASLADO DE FONDO DE INVERS,10000000,TRASLADO_INTERNO,Banco FEB2026.pdf
2026-02-25,SERVICIO PAGO A PROVEEDORES,-7980,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-25,IMPTO GOBIERNO 4X1000,-24013.23,IMPUESTO,Banco FEB2026.pdf
2026-02-25,PAGO A PROVE andres romero,-5000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-25,PAGO A PROVE mariano garcias,-1000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-25,COBRO IVA PAGOS AUTOMATICOS,-1516.2,IMPUESTO,Banco FEB2026.pdf
2026-02-26,ABONO INTERESES AHORROS,11.96,RENDIMIENTO,Banco FEB2026.pdf
2026-02-27,REV CUOTA PLAN CANAL NEGOCIOS,5200,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-27,REV IVA CUOTA PLAN CANAL NEGOC,988,IMPUESTO,Banco FEB2026.pdf
2026-02-27,REV IMPTO GOBIERNO 4X1000,24.75,IMPUESTO,Banco FEB2026.pdf
2026-02-28,ABONO INTERESES AHORROS,11.98,RENDIMIENTO,Banco FEB2026.pdf
,SALDO_ACTUAL,4376662.43,SALDO,Banco FEB2026.pdf
