fecha,descripcion,valor,categoria,archivo
2026-03-10,PAGO A PROVE carolina romero,-1920000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-10,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,43000001775_MAR2026.pdf
2026-03-12,ABONO INTERESES AHORROS,22.32,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-12,MANEJO TARJETA DEB 03 26,-18050,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-12,AJUSTE INTERES AHORROS DB,-0.03,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-13,PAGO DE PROV SERPUBLICIDAD L,5831000,INGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-13,ABONO INTERESES AHORROS,15.4,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-13,IMPTO GOBIERNO 4X1000,-72.2,IMPUESTO,43000001775_MAR2026.pdf
2026-03-14,IMPTO GOBIERNO 4X1000,-20000,IMPUESTO,43000001775_MAR2026.pdf
2026-03-14,TRANSFERENCIA CTA CAJERO,-5000000,TRASLADO_INTERNO,43000001775_MAR2026.pdf
2026-03-15,ABONO INTERESES AHORROS,17.04,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-16,ABONO INTERESES AHORROS,2.88,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-16,TRASLADO A FONDO DE INVERSION,-1800000,TRASLADO_INTERNO,43000001775_MAR2026.pdf
2026-03-16,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-16,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-16,IMPTO GOBIERNO 4X1000,-9237.98,IMPUESTO,43000001775_MAR2026.pdf
2026-03-16,PAGO A PROVE carolina romero,-300000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-16,PAGO A PROVE pedro sierra,-2000000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-16,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,43000001775_MAR2026.pdf
2026-03-16,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,43000001775_MAR2026.pdf
2026-03-17,IMPTO GOBIERNO 4X1000,-800,IMPUESTO,43000001775_MAR2026.pdf
2026-03-17,RETIRO CAJERO SUCURSAL MOMPOX,-200000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-19,ABONO INTERESES AHORROS,7.83,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-20,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-20,IMPTO GOBIERNO 4X1000,-5618.99,IMPUESTO,43000001775_MAR2026.pdf
2026-03-20,PAGO A PROVE andres romero,-1400000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-20,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,43000001775_MAR2026.pdf
2026-03-23,ABONO INTERESES AHORROS,2.68,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-24,TRANSFERENCIA CTA SUC VIRTUAL,1600000,INGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-24,TRANSFERENCIA CTA SUC VIRTUAL,500000,INGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-24,ABONO INTERESES AHORROS,3.55,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-25,IMPTO GOBIERNO 4X1000,-4876,IMPUESTO,43000001775_MAR2026.pdf
2026-03-25,PAGO PSE IMPUESTO DIAN ZONA ROSA,-1219000,IMPUESTO,43000001775_MAR2026.pdf
2026-03-26,ABONO INTERESES AHORROS,3.74,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-27,IMPTO GOBIERNO 4X1000,-350.4,IMPUESTO,43000001775_MAR2026.pdf
2026-03-27,PAGO PSE CAMARA DE COMERCIO D,-87600,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-31,ABONO INTERESES AHORROS,8.75,RENDIMIENTO,43000001775_MAR2026.pdf
,SALDO_ACTUAL,1284418.46,SALDO,43000001775_MAR2026.pdf
